id	event	name	photo	organization	position	sessions
rp14-speaker-1927	rp14	Christian Beetz	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/beetz_fuer_rp.jpg	gebrueder beetz 	Geschäftsführer	
rp14-speaker-1929	rp14	Christoph Fey	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/fey_foto.jpg	Entertainment Master Class	Geschäftsführer	
rp14-speaker-1930	rp14	Jochen Spangenberg	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/jochen_spangenberg.jpg	Deutsche Welle	Innovation Projects New Media	
rp14-speaker-1931	rp14	Jürgen Roth	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/juergen_roth_foto.jpg	apparat multimedia GmbH	Geschäftsführer	
rp14-speaker-1932	rp14	Stefan Westphal	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/stephan_westphal_fuer_rp.jpg	mymediaguide.de	Chefredakteur	
rp14-speaker-1933	rp14	Holger Klein	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/klein_fuer_rp_foto.jpg	Wrint - Wer redet ist nicht tot	Podcaster	
rp14-speaker-1934	rp14	Michael Praetorius	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/michael_fuer_rp.jpg	NOEO	Geschäftsführer	
rp14-speaker-1935	rp14	Niels t´Hooft	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/niels_thooft.png	Hybridautor		
rp14-speaker-1936	rp14	Arthur Tolsma	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/arthur_tolsma.jpg	arthurtolsma.nl	Coach und Moderator	
rp14-speaker-1937	rp14	Jörn Kamphuis	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/joern_kamphuis.jpg	Dozent – Moderator – Model		
rp14-speaker-1938	rp14	Thomas Bartoschek	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/thomas_bartoschek.jpg	Institut für Geoinformatik - WWU	Research Associate	
rp14-speaker-1939	rp14	Holger Reuss	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/portrait_0.jpg			
rp14-speaker-1940	rp14	Annika Stenzel	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/annika_stenzel_ii.jpg			
rp14-speaker-1941	rp14	Natalie  Tenberg	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/profilbild_1.jpg	florakiez	Redakteurin	
rp14-speaker-1942	rp14	Martin Ballaschk	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/image_1.jpg	SciLogs	Wissenschaftsblogger	
rp14-speaker-1943	rp14	Christoph Stasch	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/20.07_2012_05cd_stasch.jpg	Institute for Geoinformatics	PostDoc	
rp14-speaker-1944	rp14	Wolfgang Lünenbürger-Reidenbach	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/luebue_head.jpg	achtung! GmbH	Director Digital and Innovations	
rp14-speaker-1945	rp14	Morgan Marquis-Boire	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/morgan.jpg	Citizen Lab	Senior Researcher	
rp14-speaker-1946	rp14	Gabi Sobliye	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/gabinew.jpg	Tactical Technology Collective	Programme Coordinator 	
rp14-speaker-1948	rp14	Nicola Pinder	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/pinder_fuer_rp.jpg	Creatives Loop Berlin	Geschäftsführerin	
rp14-speaker-1949	rp14	AC  Coppens	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/coppens_ac.jpg	The Marketing Catalysts	Geschäftsführerin	
rp14-speaker-1951	rp14	Mihaela Gladovic	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/gladovic_mihaela_fuer_rp.jpg	ALEX Berlin	Moderatorin	
rp14-speaker-1953	rp14	McNamee Joe	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/joe.gif	European Digital Rights	Executive Director	
rp14-speaker-1959	rp14	Saskia Sassen	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/sassen.jpg	Columbia University	Professor	
rp14-speaker-196	rp14	Nicolas Wöhrl	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/diamant-24.jpg	University Duisburg-Essen	Post-Doc	
rp14-speaker-1962	rp14	Sarah Spiekermann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/sarah_spiekermann_0.jpeg	Vienna University of Economics	Professor for Information Systems	
rp14-speaker-1965	rp14	Greta Taubert	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/greta_taubert_kopie.jpg			
rp14-speaker-1966	rp14	Hannah Wilhelm 	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/hannah_wilhelm.jpg	Süddeutsche Zeitung 	Wirtschaftsredakteurin 	
rp14-speaker-1968	rp14	Annalee Newitz	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/annalee-1.png	io9	Editor in Chief	
rp14-speaker-1969	rp14	Evgeny Morozov	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/morozov.jpg			
rp14-speaker-197	rp14	Anna Lena Schiller	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/annalena2011.png	 Visuelles Denken	Head of Visual Sensemaking	
rp14-speaker-1970	rp14	Viktor  Mayer-Schönberger	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/viktor-mayerschoenberger.jpg	Oxford Internet Institute		
